" label;;;;","Unnamed: 0","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"",0,3,"1","2023-11-28T21:32:34.761540Z",2,447.09299999999996,"no German loanword","Freie Universität Berlin was founded in 1948 by professors and students, in response to the persecution faced by students who took a critical eye of the system at Universität Unter den Linden, at that time located in the Soviet sector of the divided city.","2023-11-28T21:45:52.405491Z"
"",1,4,"1","2023-11-28T21:32:48.875828Z",3,28.174,"no German loanword","The idea of founding a free university found widespread support in the international community, including financial support.","2023-11-28T21:45:57.065022Z"
"",2,5,"1","2023-11-28T21:41:09.556496Z",4,19.044,"no German loanword","This outpouring of aid helped pave the way for Freie Universität to become a university with an outstanding international reputation.","2023-11-28T21:46:01.568279Z"
"",3,6,"1","2023-11-28T21:41:37.891141Z",5,26.405,"no German loanword","The principles of freedom and internationality have guided the university’s development ever since.","2023-11-28T21:41:37.891141Z"
"",4,7,"1","2023-11-28T21:41:50.633349Z",6,8.285,"no German loanword","Since the university’s founding, in December of 1948, the academic ethos of Freie Universität Berlin has always been defined by three values: truth, justice, and freedom.","2023-11-28T21:46:09.769826Z"
"",5,8,"1","2023-11-28T21:41:57.876024Z",7,7.973000000000001,"no German loanword","The years 1968, 1990, and 2007 mark turning points in the history of Freie Universität.","2023-11-28T21:46:13.343967Z"
"",6,9,"1","2023-11-28T21:42:07.351112Z",8,6.982,"no German loanword","The university was one of the central sites in Germany for the student protests of the 1960s, a movement that sparked a trend toward greater openness, equality, and democracy.","2023-11-28T21:42:07.351112Z"
"",7,10,"1","2023-11-28T21:42:15.816971Z",9,8.814,"no German loanword","Then, after German reunification in 1990, Freie Universität Berlin shifted its emphasis, increasing its research activities.","2023-11-28T21:46:23.194734Z"
"",8,11,"1","2023-11-28T21:42:23.981312Z",10,16.219,"no German loanword","The number of graduates, successful doctoral candidates, and publications also grew by a significant measure.","2023-11-28T21:46:35.649542Z"
"",9,12,"1","2023-11-28T21:42:35.257961Z",11,9.369,"no German loanword","The basis for the university’s successful new approach was a series of fundamental reforms, including the introduction of modern management structures in the university’s administration, reorganization of the departments, and use of funding to support specific aims.","2023-11-28T21:42:35.257961Z"
