,text, label;;;;
0,"Freie Universität Berlin was founded in 1948 by professors and students, in response to the persecution faced by students who took a critical eye of the system at Universität Unter den Linden, at that time located in the Soviet sector of the divided city.",
1,"The idea of founding a free university found widespread support in the international community, including financial support.",
2,This outpouring of aid helped pave the way for Freie Universität to become a university with an outstanding international reputation.,
3,The principles of freedom and internationality have guided the university’s development ever since.,
4,"Since the university’s founding, in December of 1948, the academic ethos of Freie Universität Berlin has always been defined by three values: truth, justice, and freedom.",
5,"The years 1968, 1990, and 2007 mark turning points in the history of Freie Universität.",
6,"The university was one of the central sites in Germany for the student protests of the 1960s, a movement that sparked a trend toward greater openness, equality, and democracy.",
7,"Then, after German reunification in 1990, Freie Universität Berlin shifted its emphasis, increasing its research activities.",
8,"The number of graduates, successful doctoral candidates, and publications also grew by a significant measure.",
9,"The basis for the university’s successful new approach was a series of fundamental reforms, including the introduction of modern management structures in the university’s administration, reorganization of the departments, and use of funding to support specific aims.",
10,"In 2007, Freie Universität Berlin was selected in the Excellence Initiative jointly sponsored by the German federal government and the governments of the federal states.",
11,"It was one of nine universities in Germany to receive distinction in all three lines of funding, a step that has enabled the university to solidify and further expand its position as an “international network university.”",
12,"In 2012 during the second funding round of the Excellence Initiative, it was selected again and became one of eleven universities of excellence in Germany.",
13,"In 2018 the three major Berlin universities – Freie Universität Berlin, Humboldt-Universität zu Berlin, and Technische Universität Berlin – along with Charité – Universitätsmedizin Berlin formed the Berlin University Alliance to create an institutional framework for their collaboration.",
14,"Since 2019 Freie Universität Berlin has been funded as part of the excellence consortium Berlin University Alliance within the Excellence Strategy competition of the German federal and state governments.
",
15,"A delegation of the strategic partner university Beijing paid a visit to Freie Universität Berlin on April 5th, 2023, led by their new president Prof. GONG Qihuang, after a break of three years caused by the Covid-19 pandemic.",
16,"After a visit of the Konfuzius Institute, President Prof. Günter M. Ziegler welcomed the delegation.",
17,"After a presentation of the newest developments at Freie Universität Berlin, President Gong thanked the hosts with the words: We did not prepare a presentation, we simply wish to share with our friends at Freie Universität Berlin the words: We are very happy to finally travel and visit our partners again.",
18,We are back! ',
19,Te relationship between Freie Universität Berlin and Beijing University go back to the year 1981.,
20,"On its thirty-year anniversary, the partnership was elevated to a strategic partnership.",
21,"Despite the pandemic, cooperation agreements were signed over the last years in area studies and sinology; at the end of 2022, the first undergraduate studens were able to travel to Beijing for their sudy abroad period.
",
